articles,bhd,market,said,million,axiata,group,share,wa,malaysia,year,week,us,billion,point,s,stock,ha,thi,compani,last,also,klci,index,price,trade,sen,declin,today,net,profit,expect,fbm,servic,valuat,hold,financi,base,time,fundament,growth,increas,invest,averag,fell,revenu,research,per,earn,bank,oper,level,close,may,indic,oil,valu,higher,mobil,would,lower,celcom,bursa,two,end,includ,kuala,lumpur,score,busi,continu,top,move,say,note,howev,still,quarter,dollar,industri,investor,remain,rose,support,foreign,capit,number,2015,high,interest,provid,rate,dividend,telekom,global,friday,sdn,edg,loss,new,one
0,20,3,1,2,1,2,4,0,12,12,1,1,2,3,0,3,6,8,8,10,6,4,2,15,2,0,2,0,2,1,1,4,1,2,1,4,0,5,0,1,1,0,4,2,3,1,2,3,3,0,4,2,1,0,13,0,2,0,0,1,0,4,0,1,0,1,1,0,0,0,0,0,0,3,2,2,1,1,3,2,2,0,0,0,1,0,2,14,1,0,0,0,1,0,1,1,1,1,3,6
1,4,2,1,0,1,1,3,4,2,0,0,6,1,1,5,1,0,0,0,0,1,3,1,0,2,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,1,1,1,0,0,0,1,2,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0
2,6,7,0,3,1,1,2,7,2,0,16,6,4,8,0,1,3,5,0,8,1,6,8,1,5,0,8,0,5,0,0,6,0,0,1,0,0,0,0,0,2,3,6,5,0,0,2,0,2,0,4,5,1,9,2,1,1,0,1,0,0,0,4,0,0,0,0,0,0,3,2,4,0,0,4,3,0,2,1,0,1,0,2,2,0,0,0,1,0,0,1,0,0,3,4,0,0,0,0,0
3,1,0,0,0,5,1,2,0,0,2,0,0,0,0,1,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
4,3,1,6,0,2,4,0,0,0,0,0,0,0,0,1,2,3,2,0,0,0,3,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,3,0,0,0,0,1,2,0,8,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1
5,6,6,8,3,19,8,1,8,2,3,1,1,4,1,0,4,7,2,3,4,1,0,0,4,3,1,1,0,1,1,0,0,1,1,3,3,1,5,0,6,0,4,0,0,3,2,2,5,1,4,0,2,2,1,0,0,0,3,3,3,7,0,3,2,0,1,1,0,1,2,0,0,0,1,2,6,1,0,0,0,1,1,0,0,3,0,0,0,1,0,1,0,1,0,2,0,1,0,0,1
6,11,2,2,0,1,1,1,1,2,1,1,2,0,3,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,2,1,0,1,0,0,1,1,0,0,0,0,0
7,4,3,3,0,1,2,0,0,2,0,0,1,2,1,1,1,1,0,1,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,3,0,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
8,9,4,1,0,1,2,4,2,8,0,0,0,0,0,2,4,1,0,1,0,0,2,1,2,4,2,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
9,1,1,1,0,6,4,1,3,1,1,0,1,1,0,4,1,2,1,2,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,18,7,0,8,6,8,7,5,19,4,1,0,5,0,10,15,6,5,12,9,10,1,12,6,0,1,0,2,2,12,10,0,4,2,5,2,3,1,6,0,3,2,3,0,4,3,8,7,2,0,7,1,2,2,2,5,0,1,0,1,1,1,5,2,1,1,0,0,2,5,1,0,4,4,4,2,0,0,3,3,1,0,2,1,0,2,2,4,1,1,4,1,1,7,2,4,1,2,5
11,8,0,2,0,1,1,1,0,0,0,2,4,0,3,0,3,1,0,1,1,0,1,1,1,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,2,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,1,0,0
12,6,1,1,1,1,2,5,1,2,3,0,0,3,0,3,1,1,0,1,2,2,0,0,2,1,4,0,4,0,0,0,0,0,0,1,1,0,3,0,0,0,3,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,1,0,0,0,0,0,0,0
13,4,0,0,2,1,1,2,1,2,0,0,0,1,3,1,5,0,0,0,0,1,2,1,1,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,1,1,0,0,2,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,1,2,2,0,1,1,2,2,1,1,2,1,0,0,4,6,0,0,0,1,1,0,2,4,2,0,1,0,0,0,3,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1
15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,8,4,4,0,1,2,0,1,2,0,0,5,0,4,0,3,0,1,0,1,1,4,0,0,1,0,0,1,0,0,0,4,0,0,2,1,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
17,9,0,0,2,1,1,3,1,12,11,0,0,11,2,0,1,4,7,17,9,3,3,0,1,0,1,2,0,16,4,0,3,1,0,2,1,6,10,0,3,6,1,3,0,3,0,2,9,5,0,4,0,0,1,5,0,1,0,2,1,0,5,1,0,0,0,0,0,2,1,1,0,5,1,2,1,3,0,4,1,3,2,0,0,2,0,1,0,4,0,3,0,0,3,0,2,2,1,0,0
18,1,2,3,2,7,3,4,1,0,1,0,0,1,0,0,1,2,0,1,0,0,0,0,1,1,2,0,0,1,0,1,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
19,2,0,1,1,2,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,9,2,3,0,1,1,1,3,1,0,0,0,0,1,3,2,0,2,1,0,0,4,2,1,1,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
21,0,4,2,0,1,1,0,2,1,1,1,0,0,0,5,3,1,0,1,1,0,1,0,0,2,0,0,1,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
22,1,0,1,0,4,5,3,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
23,1,0,6,2,3,1,3,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,13,9,12,0,1,1,0,1,1,0,0,3,0,4,0,4,0,1,0,0,0,3,2,1,1,0,0,2,0,0,1,3,0,0,2,0,1,0,0,0,1,0,1,4,0,5,0,0,0,0,3,3,1,1,3,0,1,0,2,3,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,2,2,0,0,0,0,2,0,0,0,1,0,0
25,2,2,3,0,7,1,4,1,2,0,0,0,2,2,6,1,1,3,0,1,0,3,0,0,1,1,2,3,0,1,2,1,5,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,0,0,2,0,0,0,0,0,1,0,1,2,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
