articles,bhd,said,million,share,year,price,cimb,thi,ha,market,wa,stock,bank,group,malaysia,research,billion,compani,expect,hold,also,s,profit,sen,earn,net,invest,trade,target,last,financi,us,growth,per,note,higher,would,analyst,say,time,today,point,may,manag,base,new,oil,end,valuat,first,rate,kuala,quarter,valu,investor,lumpur,fund,revenu,index,could,2015,due,high,edg,lower,declin,report,busi,close,asset,increas,klci,develop,sale,oper,fundament,project,sector,posit,week,product,current,remain,capit,maintain,call,month,one,cost,howev,2014,top,rose,industri,continu,fell,hous,like,secur,strong
0,4,0,2,1,1,1,1,0,3,1,0,1,0,5,0,1,4,3,1,0,3,0,0,0,1,1,0,0,2,0,1,0,0,2,0,1,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,4,0,4,0,0,0,0,2,1,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,2,0
1,1,2,0,2,0,1,1,0,1,0,0,0,0,0,1,4,0,1,0,1,0,0,1,1,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0
2,24,3,0,3,0,1,1,0,0,4,4,1,2,0,4,2,2,2,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,1,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,1,0,2,1,0,1,0,0,0
3,2,1,19,4,8,3,3,2,4,2,2,2,1,2,3,1,0,6,5,1,2,0,5,4,6,4,1,0,2,2,2,2,7,3,2,1,2,1,9,1,0,2,0,2,2,3,0,3,1,0,3,0,2,0,1,0,0,6,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,1,1,0,0,1,0,0,3,3,1,0,1,2,2,0,2,1,0,0,0,2,0,0,0,1,4,0
4,3,4,3,4,1,2,1,2,0,1,0,0,0,2,0,2,2,3,0,0,1,0,1,1,1,1,0,1,3,0,0,0,1,0,1,4,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,7,1,0,0,0,1,0,0,2
5,20,7,0,8,19,12,12,6,15,18,7,10,7,6,5,4,0,5,12,2,9,0,2,0,8,2,3,6,2,12,5,1,6,3,4,5,1,6,0,3,0,5,1,3,2,2,2,5,4,5,1,1,2,2,3,1,0,0,1,6,2,3,2,4,0,1,5,0,7,5,0,10,2,0,2,1,1,5,3,4,0,1,3,1,1,1,0,5,0,4,0,5,1,0,2,3,0,0,5,4
6,9,11,0,1,1,3,1,2,0,10,3,6,1,3,0,4,0,1,1,5,1,1,0,0,0,0,0,3,0,0,0,2,0,0,0,2,2,0,0,0,2,4,3,1,1,0,4,1,0,0,0,1,0,0,0,1,0,0,2,2,1,1,4,0,5,1,2,0,3,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,1,1,1,1,0,0
7,4,0,1,0,1,1,1,0,2,0,0,1,0,2,0,1,0,3,1,1,0,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
8,1,3,2,2,0,1,1,3,0,0,1,0,1,0,0,2,0,0,0,1,0,0,3,1,1,3,0,0,1,0,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,1,0,0,1
9,23,0,1,0,11,2,1,7,6,6,1,1,6,3,4,2,8,1,9,6,1,0,0,0,2,0,1,4,1,1,1,4,2,1,0,2,1,0,0,2,0,1,5,0,1,0,0,0,3,1,1,1,1,1,2,0,4,0,2,1,0,0,3,0,0,0,0,0,0,1,0,4,0,0,0,1,5,4,4,0,0,3,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1
