articles,bhd,share,million,bank,said,price,market,stock,thi,year,wa,ha,group,malaysia,billion,maybank,research,trade,index,sen,expect,invest,also,compani,us,hold,point,profit,s,high,earn,klci,low,time,growth,net,financi,say,last,per,target,may,level,analyst,would,valuat,cimb,end,note,valu,fbm,close,investor,lower,higher,first,buy,2015,oil,base,declin,manag,busi,rate,daili,includ,2014,quarter,report,sell,kuala,fell,edg,lumpur,month,new,remain,could,today,due,fundament,2016,revenu,recent,like,week,activ,sinc,continu,industri,averag,one,current,rose,capit,support,move,oper,asset,dividend
0,3,2,3,2,11,7,1,2,3,5,1,5,0,2,1,11,0,0,0,1,0,2,1,0,0,1,0,0,0,0,4,0,0,1,0,1,2,0,0,5,3,1,0,3,0,0,10,1,3,3,0,1,1,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,5,2,0,2,2,0,0,0,1,0,1,0,0,1,0,0,2,0,5,0,0,0,1,0,0,0
1,1,2,1,2,4,0,1,1,2,1,0,0,2,0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3,2,1,6,2,0,5,0,0,3,0,0,0,0,2,4,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0,1,0,0,1,3,0,0,0
3,6,0,7,2,0,0,0,1,3,5,11,3,3,6,6,2,0,0,0,0,1,4,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,3,0,0,1,6,0,0,0,1,0,1,0,2,0,0,0,0,1,1,0,2,0,0,0,9,0,1,0,0,0,1,1,0,2,0,4,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
4,27,0,1,15,1,4,6,1,13,12,5,13,5,5,2,0,0,1,0,0,1,6,3,14,4,3,0,0,0,0,0,0,1,8,1,0,2,16,6,1,0,2,0,0,3,1,0,1,0,0,0,0,1,0,0,2,0,1,20,0,1,3,1,1,0,0,0,0,3,0,0,1,4,0,2,1,0,3,0,0,1,0,0,3,2,0,7,1,2,11,0,2,3,0,2,5,0,0,2,0
5,18,1,7,9,2,0,4,2,0,6,2,7,1,7,0,0,0,0,0,1,1,0,6,5,0,0,1,0,0,0,0,0,0,0,1,1,2,2,5,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,1,0,1,0,2,5,1,0,1,0,0,1,1,0,0,2,0,2,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0
6,5,16,4,1,3,15,1,4,3,5,8,12,9,1,0,1,1,5,0,4,2,2,7,1,5,4,0,3,0,0,5,0,2,0,1,4,2,0,3,8,1,1,4,4,3,1,0,2,0,4,0,2,8,2,0,1,7,0,3,4,0,3,0,0,0,1,0,4,1,1,1,1,0,1,1,2,3,2,1,2,0,0,0,1,0,1,0,4,3,0,1,0,6,0,1,1,0,1,1,6
7,2,5,1,0,9,4,4,2,2,1,0,1,1,0,3,4,11,1,0,1,0,0,2,2,1,1,1,0,10,0,1,0,0,5,0,2,1,0,1,2,4,0,0,0,0,0,8,1,4,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
8,1,2,0,0,0,1,0,1,0,3,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,3,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
9,6,2,3,1,0,3,5,2,4,1,6,2,1,0,4,0,0,5,10,0,0,3,2,0,7,0,9,0,0,1,0,4,0,0,0,2,2,0,10,2,0,2,7,0,0,0,0,1,0,1,4,2,0,0,1,0,1,0,4,2,8,0,0,0,2,0,0,0,0,2,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,13,0,1,5,0,4,0,1,0,0,4,2,0,0,0
10,2,0,0,6,0,1,0,1,4,1,1,1,0,0,0,0,1,0,0,0,3,0,3,0,1,0,0,0,0,2,0,0,0,0,11,1,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1
