articles,million,bhd,said,share,wa,year,price,petrona,ha,stock,market,sen,compani,oil,group,billion,thi,s,contract,malaysia,profit,trade,research,ga,also,includ,us,expect,today,project,net,revenu,hold,klci,per,end,valu,earn,sdn,quarter,last,kuala,lumpur,develop,valuat,fbm,activ,higher,note,point,may,new,base,time,financi,oper,lower,servic,product,first,fundament,close,investor,due,counter,accord,manag,bank,bursa,would,gain,say,top,gainer,work,fell,secur,2015,31,remain,score,rate,current,construct,rose,industri,report,invest,busi,edg,ad,one,continu,two,unit,high,local,target,index,month
0,0,26,4,2,1,1,0,2,0,1,3,0,2,1,1,2,0,0,0,1,0,1,2,3,0,4,2,1,1,0,0,0,2,3,0,0,1,1,0,0,0,2,2,1,0,3,1,2,0,3,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,2,0,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,0,0,4,0
1,7,4,0,3,1,5,0,0,5,1,1,0,0,0,5,5,2,0,2,0,0,1,1,0,2,0,8,1,0,4,2,1,2,0,3,1,2,1,0,1,1,0,0,0,0,0,0,2,1,2,0,2,1,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,2,3,5,6,3,2,7,1,3,0,0,5,2,3,7,0,2,6,4,0,0,1,2,2,0,0,2,2,2,0,0,0,1,0,4,0,2,0,1,0,0,1,1,0,0,0,0,0,2,0,3,0,2,1,1,0,0,1,0,0,0,1,0,0,3,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,1,2,0,2,0,1
3,0,3,0,0,1,1,1,4,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,5,1,0,0,0,0,0,0,0,2,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,1,2,0,1,1,0,0,1,0,0,0,2,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5,1,4,5,2,1,0,0,3,2,1,1,2,0,3,1,1,0,2,7,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
6,2,1,0,2,1,1,0,1,2,2,2,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,8,3,4,3,0,4,1,5,3,1,1,1,4,2,0,0,2,0,13,1,3,1,0,1,0,0,0,1,0,0,2,1,0,0,1,2,2,1,2,0,1,1,1,0,0,0,0,0,1,1,0,0,0,4,2,0,1,0,1,0,0,1,0,1,1,1,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,0,0,0,0,1
8,2,4,3,3,1,3,1,3,1,1,3,1,3,1,1,0,0,0,9,2,0,1,0,1,0,0,0,1,2,0,1,0,0,0,1,1,1,1,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1
9,0,4,0,1,0,3,3,1,1,1,0,1,0,2,6,2,1,0,5,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,1,1,2,0,1,0,0,1,0,0,1,0,0,0,0,2,1,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0
