articles,bhd,said,million,market,share,axiata,group,year,stock,malaysia,wa,billion,s,compani,thi,ha,index,price,us,point,also,week,klci,profit,hold,trade,revenu,expect,research,last,net,higher,today,servic,financi,fbm,sen,gain,includ,valuat,base,bank,fundament,end,rose,invest,close,declin,earn,edg,high,increas,kuala,lumpur,oper,data,per,mobil,may,2015,valu,time,industri,level,low,growth,lower,support,score,oil,bursa,first,investor,report,averag,due,note,quarter,corpor,attract,busi,rate,number,continu,indic,like,accord,dividend,month,fund,manag,remain,provid,sell,telecommun,howev,3,histor,fell,two
0,3,5,0,3,0,1,2,2,1,0,2,0,0,0,0,1,2,0,0,2,0,0,4,0,1,0,0,1,3,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,1,0
1,0,3,1,4,0,1,0,2,2,0,1,2,1,0,1,3,0,1,0,0,0,2,0,0,1,1,0,3,3,1,0,1,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,1,1,0,1,0,0,0,0,0,0,1,0,0,2,1,0,1,0,1,0,0,0,0,0,1
2,3,5,0,5,0,1,2,0,2,1,1,0,1,0,1,0,1,0,0,2,2,1,3,0,1,1,0,1,4,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
3,16,3,0,1,0,1,2,1,1,4,1,5,0,4,1,5,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,3,0,4,3,0,1,0,0,0,0,0,0,0
4,5,2,1,1,0,1,1,1,2,3,0,0,2,0,0,5,2,4,2,6,2,0,0,0,0,0,2,1,1,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,4,0,0,0,1,0,0,2,0,2,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
5,4,3,1,1,0,1,1,0,1,3,0,0,0,0,1,3,2,4,2,2,1,0,0,0,0,0,2,1,1,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,4,0,0,0,3,0,0,1,0,2,0,0,1,0,1,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
6,6,0,3,9,2,1,2,1,1,0,6,4,0,0,3,2,9,0,6,10,1,20,6,0,0,3,0,0,0,13,3,0,0,0,1,6,0,0,1,0,1,0,0,0,2,3,4,3,0,0,1,7,0,0,0,0,2,0,0,0,1,0,1,6,0,0,1,2,0,2,0,1,0,0,6,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,1,0,3,0,1,5,5
7,27,4,2,6,3,1,2,0,4,6,4,0,2,0,1,1,4,0,4,1,0,3,3,1,0,2,0,2,1,3,0,0,0,1,0,3,0,1,3,0,0,1,0,0,0,0,2,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
8,2,3,1,1,1,2,18,3,1,0,2,0,7,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,5,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,4,0,1,0,6,0,0,0,0,0
9,5,2,1,3,3,1,1,0,2,2,2,2,1,0,0,0,0,0,1,2,0,0,2,0,2,3,0,1,1,0,0,1,2,0,0,1,2,0,1,0,0,1,0,0,1,1,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,4,3,0,2,4,4,1,0,2,0,0,0,2,3,2,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,2,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
11,6,9,0,8,0,1,6,8,2,4,3,8,0,2,6,2,0,1,0,1,3,0,1,0,3,0,0,11,0,3,0,1,0,1,1,1,0,0,1,0,0,6,1,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,1,14,0,0,0,0,0,3,0,2,1,2,1,1,4,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
12,7,1,3,1,1,5,1,4,1,2,3,1,4,0,1,2,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
13,1,4,0,1,2,8,2,0,1,2,0,3,3,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1
14,18,2,7,4,1,1,1,6,2,7,2,0,0,5,0,7,0,0,0,1,6,0,0,0,0,0,0,1,0,5,1,0,0,11,2,0,1,0,1,0,1,9,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,1,0,0,0,5,1,0,0,0,0,1,0,2,2,2,0,2,1,0,2,0,0,0,2
15,9,2,0,0,0,1,2,0,4,3,1,0,2,0,0,0,1,0,5,3,0,0,1,0,1,1,0,1,0,3,0,0,2,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,2,0,0,0,1,0,0,2,2,1,0,0,0,0,4,0,1,0,0,2,1,0,0,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0
16,2,2,1,1,2,6,3,0,1,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,0,2,0,4,5,1,2,2,5,0,0,0,3,0,0,2,2,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,1,0,1,1,0,6,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,3,0
18,11,1,1,0,7,1,0,0,2,7,4,2,4,1,0,0,0,2,0,1,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,2,0,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
19,2,1,0,5,5,1,1,1,8,0,3,0,2,0,2,0,4,0,2,0,1,0,0,0,1,2,0,2,0,0,0,0,0,1,3,0,0,12,1,0,0,4,0,0,7,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0
20,1,3,2,2,4,7,3,1,1,0,1,1,1,1,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,4,4,0,2,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0
21,22,0,0,18,1,1,9,38,1,6,8,30,0,27,14,3,0,2,1,4,4,0,2,12,5,0,3,0,0,5,5,2,0,1,4,2,0,8,2,1,3,4,0,0,0,0,1,3,1,17,0,1,0,0,0,6,0,0,0,4,6,1,3,1,0,3,3,0,3,2,3,1,0,1,1,1,1,1,5,0,1,0,0,3,0,0,0,1,1,1,1,1,1,0,0,0,2,0,0,2
22,10,5,0,5,0,1,1,0,2,1,1,0,3,0,1,0,0,0,6,4,0,0,4,0,2,2,0,1,1,0,0,0,1,0,0,4,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
23,0,2,0,3,5,1,2,0,6,0,0,0,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,5,0,0,0,1,0,2,5,1,4,1,1,0,1,1,0,0,0,1,0,0,2,0,0,0,1,0,1,1,3,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,1,0,0,0,2,1,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
25,2,5,1,1,2,14,2,1,1,4,1,2,6,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,1,1
26,14,0,0,5,0,1,9,7,1,11,2,8,0,14,5,2,0,0,0,0,3,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,3,1,2,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,8,0,4,1,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
27,14,0,0,5,0,1,9,7,1,12,2,8,0,14,5,3,0,0,0,0,3,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,3,1,2,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,8,0,4,1,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
28,9,1,1,3,4,3,1,0,2,3,2,2,4,0,0,0,2,0,0,6,0,0,4,1,1,1,0,0,0,0,0,1,3,0,0,1,7,1,0,0,0,2,0,1,2,1,2,3,0,0,1,0,1,1,0,0,0,0,3,0,0,0,1,0,1,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
