articles,bhd,million,share,said,year,price,thi,cimb,market,wa,bank,stock,group,ha,research,billion,malaysia,compani,hold,profit,also,sen,expect,net,invest,s,earn,trade,last,us,target,financi,growth,time,per,say,higher,note,manag,valu,valuat,would,analyst,may,today,first,investor,base,point,end,revenu,lower,edg,new,quarter,rate,fund,oil,close,index,due,kuala,increas,lumpur,report,rose,oper,fundament,asset,product,2014,cost,could,remain,week,strong,howev,month,continu,high,one,busi,2015,klci,posit,two,industri,sale,buy,project,current,declin,gain,like,maintain,call,sector,30,develop,capit
0,3,1,4,5,0,3,0,1,0,0,1,2,0,0,1,0,0,1,0,0,0,1,0,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,1,0,0
1,10,0,0,5,6,3,1,1,4,3,9,5,1,6,5,2,4,7,3,0,1,0,2,2,2,0,3,2,5,1,0,1,3,1,0,0,1,2,1,0,2,1,1,0,1,0,2,0,5,0,0,0,1,0,0,3,8,3,0,7,0,1,1,1,0,0,0,0,0,0,1,0,2,2,0,2,0,1,4,0,0,0,0,8,2,0,0,0,3,0,2,1,2,1,0,0,2,0,0,0
2,1,2,3,3,3,1,0,6,1,0,2,2,1,5,7,2,1,1,2,1,0,0,5,1,2,0,7,1,0,0,1,5,1,0,0,0,1,1,0,0,2,0,3,0,0,0,1,3,0,7,0,3,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,1,2,0,0,2,5,0,2,2,0,0,0,1,0,0,0,3,0,1,0,0,0,2,2,0,5,0,1
3,2,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,4,8,2,4,0,1,1,1,2,2,3,1,2,2,0,1,1,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,8,0,0,0,0,3,0,0,0,0,0,0,1
5,2,0,2,7,7,1,3,1,6,1,1,11,3,2,0,0,4,4,1,0,2,0,1,0,3,0,0,0,1,3,0,1,1,1,4,0,0,1,1,3,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,2,0,2,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,3,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,0
6,1,2,2,2,0,1,0,1,1,4,0,0,0,1,2,2,0,0,0,0,0,2,1,0,0,0,2,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
7,2,4,9,7,0,3,2,2,1,1,0,2,2,1,3,0,0,1,0,0,1,3,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8,2,2,0,0,1,1,0,1,2,1,1,2,2,2,1,4,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,4,1,0,0,2,1,1,0,0,3,0
9,1,6,4,2,1,1,2,2,1,2,0,1,0,1,3,0,0,3,1,2,1,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,2,1,0,0,1,2,2,0,0,4,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0
