articles,bhd,million,share,year,price,said,ha,wa,market,bank,stock,thi,billion,group,compani,maybank,research,malaysia,profit,also,expect,hold,earn,us,sen,invest,trade,net,time,say,index,per,buy,high,s,financi,last,growth,may,point,analyst,higher,valu,target,new,klci,would,low,end,quarter,report,revenu,lower,investor,rate,valuat,due,first,level,close,oper,today,manag,2014,base,note,gain,oil,edg,includ,month,rose,current,fbm,2015,fund,cimb,posit,sell,remain,sinc,kuala,like,product,industri,daili,could,fundament,asset,lumpur,call,develop,increas,strong,recent,one,busi,move,top,capit
0,2,0,2,7,1,7,2,1,6,1,11,3,0,3,4,0,0,4,0,2,1,1,0,3,0,3,0,0,1,0,2,4,0,0,0,1,1,1,0,1,0,0,3,0,1,3,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,3,3,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
1,42,29,7,11,2,10,12,7,2,2,2,2,4,14,9,1,0,7,4,4,1,9,3,1,7,7,0,4,1,1,0,8,0,0,17,3,0,2,1,0,0,2,2,0,1,0,0,0,7,7,4,5,1,0,1,1,2,0,0,0,1,3,1,0,2,0,0,2,2,2,1,5,0,0,1,0,0,2,3,0,0,1,0,2,2,1,2,0,2,1,0,1,0,0,1,2,1,0,0,4
2,2,0,3,7,1,7,2,1,6,1,11,3,0,3,4,0,0,4,0,2,1,1,0,3,0,3,0,0,1,0,2,4,0,0,0,1,1,1,0,1,0,0,3,0,1,3,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,2,1,0,0,1,0,3,0,0,0,0,3,1,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
3,2,1,2,2,8,0,1,0,0,0,2,1,1,2,0,1,1,0,1,0,1,4,2,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,3,0,0,2,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4,20,0,8,19,12,7,15,7,18,7,10,6,0,6,5,5,4,5,2,9,12,2,8,1,0,3,6,2,3,0,1,3,4,2,0,5,12,6,1,5,6,5,2,2,2,10,1,3,5,2,5,0,0,3,1,4,3,5,0,7,2,0,3,0,2,4,3,2,4,2,0,1,1,10,2,0,12,3,1,3,4,1,0,0,0,3,6,1,5,1,1,2,0,4,0,5,0,1,5,1
5,24,9,31,63,76,5,7,58,22,5,54,30,12,7,22,2,39,3,6,24,9,21,16,1,7,6,2,9,29,1,3,2,34,8,0,0,10,7,12,5,18,7,3,30,8,2,19,11,1,3,4,3,3,9,2,2,3,2,1,11,1,2,5,0,6,12,17,2,4,10,14,3,6,3,2,2,1,2,8,10,6,1,6,7,8,0,4,1,3,0,65,4,2,7,5,4,3,4,1,9
6,8,0,9,5,1,6,3,9,21,5,6,8,8,0,2,2,7,5,5,6,2,1,2,1,2,3,9,2,3,0,0,0,0,1,0,3,3,0,1,3,1,3,0,1,1,4,1,1,2,1,2,0,0,7,0,0,2,3,1,2,0,2,3,0,1,2,2,1,3,1,2,1,1,1,0,2,1,3,0,0,1,1,3,0,0,3,7,0,2,1,0,0,0,5,1,0,0,1,1,0
7,23,1,0,11,2,0,6,1,6,6,1,7,8,3,1,0,2,4,0,1,9,6,2,4,0,1,4,0,2,0,2,1,0,3,0,1,1,2,5,1,0,2,1,1,0,4,1,0,0,1,0,0,0,2,1,3,0,1,3,0,0,0,0,0,1,0,1,0,0,1,1,0,3,4,0,4,1,4,0,2,1,1,2,0,0,0,1,1,1,0,0,0,0,1,3,0,0,0,0,0
8,13,6,13,6,9,1,0,33,5,5,1,6,0,0,8,1,0,3,1,1,1,1,2,0,0,6,0,1,5,0,0,5,2,0,0,0,1,0,2,0,0,1,9,0,0,0,0,0,1,0,1,0,1,0,1,3,0,2,0,0,2,0,4,1,1,5,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,2,0,2,3,0,0,2
9,13,7,14,2,12,0,5,10,3,9,2,1,8,9,2,4,0,6,0,3,1,3,0,2,0,7,0,0,5,1,0,4,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,1,0,3,0,3,0,0,4,0,0,4,0,0,0,1,3,2,0,0,3,4,0,0,2,2,0,0,0,0,0,0,5,0,0,0,1,3,0,3,4
10,26,19,15,18,31,12,23,1,12,1,13,5,7,10,13,2,21,8,9,14,20,6,18,1,5,1,18,9,17,0,0,2,7,5,0,18,12,18,4,7,16,2,5,11,10,0,3,5,12,10,4,5,3,4,8,3,7,3,9,4,12,0,8,0,6,5,3,14,8,2,2,0,8,0,0,2,4,3,2,6,1,0,3,6,5,8,12,1,3,0,5,0,5,4,3,12,3,4,1,3
11,4,1,0,9,11,1,9,1,11,7,2,5,3,0,7,3,6,11,0,11,9,2,7,17,0,4,5,0,1,0,0,3,0,1,0,1,3,11,1,2,3,2,0,0,2,1,6,0,1,2,3,2,1,9,5,0,1,3,1,1,2,0,0,2,0,1,1,14,0,3,2,0,1,1,0,0,0,4,0,2,2,0,4,1,0,0,9,2,1,0,0,1,2,3,1,2,0,2,1,2
12,9,0,3,0,0,10,0,4,8,1,5,3,2,0,0,0,4,0,0,0,2,1,0,2,0,0,2,0,0,0,2,0,5,3,1,0,0,0,1,4,0,2,0,0,0,3,2,0,1,0,0,0,2,0,1,0,0,0,3,3,0,2,0,0,1,0,2,0,0,1,0,2,0,3,0,0,0,1,2,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
13,25,20,8,4,1,7,7,2,3,3,2,0,0,6,2,7,0,2,6,5,1,3,1,0,6,0,0,3,0,0,0,5,1,0,2,1,1,0,2,0,0,1,0,0,2,0,1,0,2,3,1,5,1,0,0,0,2,1,0,0,5,2,3,0,1,0,0,0,0,1,0,2,2,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,2,2,0,0,1,1,0,0,2
14,5,5,6,0,0,5,0,0,5,1,1,0,1,2,2,11,0,2,1,6,2,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,2,1,6,0,1,0,0,0,0,0,0,0,1,0,0,4,0,1,0,1,0,1,0,2,0,0,0,0,4,1,0,0,4,0,0,0,2,0,0,1
15,1,10,0,16,10,0,4,2,2,2,2,2,1,2,5,1,3,0,9,3,8,3,0,0,1,1,0,4,1,7,0,4,2,0,0,0,3,2,0,0,1,3,0,3,0,0,0,0,1,4,3,6,3,0,1,0,1,2,0,1,3,0,0,0,1,0,0,7,2,0,0,2,0,0,0,0,0,2,1,0,0,0,0,5,0,0,1,0,0,0,2,0,4,0,0,1,7,2,1,0
16,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
17,1,3,2,2,0,5,0,1,1,3,1,0,10,7,0,10,0,2,3,1,2,0,2,0,0,0,1,7,0,0,0,0,0,0,4,1,0,2,0,0,0,3,1,0,0,0,0,0,4,5,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0
18,1,0,2,3,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,2,0,2,0,0,0,4,0,1,0,1,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
19,0,0,3,2,0,2,0,0,2,1,6,1,0,1,0,1,0,0,1,1,0,1,0,1,0,2,1,0,0,1,4,0,0,0,2,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,3,0,1,0,0,0,0,3,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
20,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
