articles,million,bhd,said,share,year,wa,petrona,ha,price,market,stock,group,thi,compani,billion,sen,malaysia,contract,oil,s,us,trade,profit,expect,ga,includ,project,also,research,today,per,net,klci,point,valu,sdn,develop,last,earn,revenu,valuat,kuala,fbm,lumpur,end,hold,time,higher,activ,quarter,financi,servic,lower,close,base,say,new,bank,may,first,fundament,oper,investor,current,would,note,bursa,due,index,secur,invest,rose,accord,gainer,2015,ad,fell,product,industri,busi,counter,posit,edg,score,two,rate,corp,gain,construct,could,capit,remain,manag,percent,local,offshor,one,announc,asset,report
0,8,8,8,2,6,4,6,3,0,3,1,7,1,3,0,2,2,2,3,0,1,0,0,1,2,0,3,3,0,0,0,3,0,0,1,4,2,2,0,1,0,1,0,1,1,1,2,1,0,1,4,1,2,1,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,2,0,0,1,0,0,1,0,0,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,4,3,1,0,1
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,2,2,2,2,0,1,1,0,1,1,3,2,1,0,2,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,1,1,0,1,0,0,2,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
3,0,22,3,2,0,1,1,1,0,2,3,2,0,2,0,0,1,0,0,4,2,2,0,1,0,3,0,1,1,2,0,0,3,1,0,0,0,0,2,0,0,1,2,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,1,1,3,0,0,0,1,0,0,1,1,1,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,0,0,0,1
4,3,1,1,3,2,0,2,0,2,0,0,3,2,1,2,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,1,0,1,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,1,1,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
6,4,1,5,2,2,2,2,2,2,1,1,4,2,0,7,4,0,0,0,0,0,0,4,2,9,0,1,2,0,1,2,2,0,0,0,0,0,1,0,5,0,1,0,1,1,0,0,7,1,1,0,1,3,0,0,0,2,0,0,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
7,0,10,13,0,2,1,1,0,0,13,6,0,3,0,0,0,2,0,0,1,2,2,0,1,1,1,0,0,5,2,0,0,3,4,0,0,0,1,0,0,0,1,3,1,2,1,0,1,0,0,0,1,3,3,1,0,0,0,2,0,0,0,0,0,2,0,0,0,5,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,1,1,0,0
8,1,3,1,2,1,1,1,0,0,0,0,0,1,1,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,3,5,1,1,0,1,4,0,0,1,0,4,2,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0,0,0,0,1,0,1,0,0,2,0,0,0,0,3,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,1,0,0,0
10,0,6,4,1,4,2,3,5,1,3,0,0,2,4,0,0,0,0,4,0,0,0,0,0,3,1,0,2,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,1,0,0,1,0,0,0,0,4,0,0,2,1,0,0,0
11,0,5,1,1,3,1,3,3,0,3,1,0,1,2,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,3,1,1,0,0
12,1,3,5,1,2,1,13,3,0,1,1,0,2,1,0,2,0,8,2,0,0,0,0,0,2,2,4,3,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
13,3,3,4,2,2,1,4,0,0,1,1,1,1,0,2,0,0,0,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,1,0,1,1,1,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,0,3,2,1,3,1,3,2,0,0,1,0,1,0,0,2,2,5,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
15,85,17,10,0,24,6,0,4,2,1,1,15,1,4,33,0,10,2,0,20,0,0,30,8,0,1,3,3,0,1,1,32,0,0,0,0,6,3,2,29,0,1,0,1,1,8,2,11,0,3,2,5,5,0,1,0,4,4,1,4,0,2,0,3,1,0,1,7,0,0,3,7,0,0,1,0,4,1,0,2,0,2,0,0,1,1,3,4,3,0,1,2,1,0,1,0,0,1,1,1
16,12,2,3,2,3,2,1,0,1,2,1,2,0,0,0,2,0,1,0,2,0,0,4,1,0,0,0,0,0,1,0,4,0,0,0,1,3,0,1,5,0,1,0,1,1,0,0,3,1,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
17,10,3,3,2,3,2,1,0,3,0,2,1,1,1,0,5,0,3,2,4,0,2,5,2,1,0,0,0,3,0,0,5,0,0,1,1,0,1,3,3,0,1,0,1,1,0,0,3,1,1,1,1,1,0,0,0,2,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,0,4,2,4,1,2,3,0,0,3,2,0,0,0,2,2,6,0,1,9,3,3,0,0,4,0,0,0,0,2,0,0,3,7,0,0,0,1,0,0,0,1,1,1,1,2,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,2,0,1,1,0,1,0,2,0,1,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,1
19,4,1,4,3,3,1,3,0,7,0,3,3,1,0,7,2,0,0,0,0,0,1,3,5,0,0,0,1,3,0,0,3,0,0,0,0,0,0,3,3,1,1,0,1,1,1,0,2,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
20,2,2,0,3,2,1,2,1,10,0,2,2,2,0,2,2,0,1,1,0,1,0,2,5,0,1,0,2,1,0,5,2,0,1,0,0,0,0,5,5,1,0,0,0,0,0,2,3,2,1,1,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,0,2,0,8,0,1,2,0,1,1,1,0,0,0,2,1,3,0,1,5,0,2,1,0,0,0,0,1,0,1,0,0,4,3,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,2,0,0,0,3,0,1,1,0,2,0,2,0,0,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
22,10,4,0,12,12,6,1,10,8,2,2,11,15,4,4,5,0,2,0,0,5,0,3,5,0,1,22,1,0,0,4,2,0,3,5,3,1,7,11,4,2,0,0,0,0,1,1,1,0,1,1,10,0,5,0,2,3,4,0,3,0,1,5,0,6,3,0,1,0,1,3,0,1,0,0,1,0,1,0,4,0,1,2,0,0,3,0,0,1,6,0,0,3,0,1,0,2,1,0,3
23,1,4,1,1,0,1,2,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
24,12,3,1,26,5,23,2,3,13,6,3,2,13,5,8,0,2,0,0,0,2,1,0,3,0,0,0,2,0,0,5,0,0,3,1,0,0,3,0,0,1,0,0,0,0,1,3,0,0,0,0,1,1,3,2,1,2,9,0,5,0,0,12,1,16,2,1,3,0,0,5,0,0,0,0,0,0,0,2,2,0,3,2,0,4,0,0,0,1,4,2,0,3,0,0,0,5,0,0,0
25,1,3,6,3,2,4,7,2,0,1,1,0,1,0,1,1,2,6,1,2,0,1,0,0,0,0,0,1,0,4,1,0,0,0,0,1,0,3,0,0,0,1,0,1,0,1,1,0,0,0,0,5,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
