Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,7.560000,7.710000,7.560000,7.620000,6.726766,6328500
2014-01-03,7.510000,7.620000,7.510000,7.580000,6.691455,4593000
2014-01-06,7.510000,7.540000,7.410000,7.410000,6.541383,4838700
2014-01-07,7.410000,7.420000,7.350000,7.350000,6.488415,4165600
2014-01-08,7.370000,7.440000,7.320000,7.360000,6.497244,6905800
2014-01-09,7.370000,7.380000,7.280000,7.300000,6.444278,5722600
2014-01-10,7.290000,7.300000,7.220000,7.250000,6.400138,10070200
2014-01-13,7.250000,7.250000,7.250000,7.250000,6.400138,0
2014-01-15,7.180000,7.200000,6.950000,7.090000,6.258894,20325900
2014-01-16,7.130000,7.140000,7.090000,7.110000,6.276549,15721100
2014-01-20,7.100000,7.120000,7.050000,7.090000,6.258894,12475900
2014-01-21,7.090000,7.150000,7.090000,7.120000,6.285377,13707500
2014-01-22,7.090000,7.150000,7.000000,7.020000,6.197099,20538800
2014-01-23,7.010000,7.010000,6.780000,6.900000,6.091166,38071100
2014-01-24,6.800000,6.940000,6.800000,6.900000,6.091166,25075700
2014-01-27,6.840000,6.910000,6.800000,6.910000,6.099994,32215900
2014-01-28,6.870000,6.910000,6.820000,6.840000,6.038199,18369600
2014-01-29,6.850000,6.950000,6.830000,6.910000,6.099994,11688600
2014-01-30,6.900000,6.920000,6.850000,6.920000,6.108822,10600300
2014-02-03,6.920000,6.920000,6.920000,6.920000,6.108822,0
2014-02-04,6.880000,6.880000,6.670000,6.850000,6.047027,18133900
2014-02-05,6.850000,6.920000,6.850000,6.900000,6.091166,10757100
2014-02-06,6.900000,6.940000,6.890000,6.920000,6.108822,12625300
2014-02-07,6.960000,7.020000,6.930000,7.010000,6.188272,13075000
2014-02-10,7.040000,7.170000,7.020000,7.150000,6.311860,13400200
2014-02-11,7.180000,7.250000,7.170000,7.230000,6.382483,13701600
2014-02-12,7.220000,7.250000,7.160000,7.190000,6.347171,7448200
2014-02-13,7.160000,7.160000,7.020000,7.090000,6.258894,5077000
2014-02-14,7.090000,7.110000,7.080000,7.090000,6.258894,5142300
2014-02-17,7.110000,7.150000,7.090000,7.100000,6.267722,6433700
2014-02-18,7.110000,7.120000,7.090000,7.100000,6.267722,1773200
2014-02-19,7.100000,7.120000,7.080000,7.110000,6.276549,3718600
2014-02-20,7.110000,7.120000,7.080000,7.110000,6.276549,4313800
2014-02-21,7.100000,7.100000,7.060000,7.070000,6.241238,3590000
2014-02-24,7.090000,7.100000,7.070000,7.090000,6.258894,2323600
2014-02-25,7.090000,7.130000,7.080000,7.100000,6.267722,5413200
2014-02-26,7.110000,7.110000,6.900000,6.900000,6.091166,8094900
2014-02-27,7.050000,7.150000,7.040000,7.100000,6.267722,9854600
2014-02-28,7.060000,7.170000,7.060000,7.160000,6.320689,10442400
2014-03-03,7.150000,7.170000,7.060000,7.090000,6.258894,7819500
